Date,Andhra Pradesh/Rice,Andhra Pradesh/Sugarcane,Andhra Pradesh/Cotton,Andhra Pradesh/Maize,Andhra Pradesh/Groundnut,Bihar/Wheat,Bihar/Rice,Bihar/Maize,Bihar/Sugarcane,Gujarat/Groundnut,Gujarat/Cotton,Gujarat/Wheat,Gujarat/Sugarcane,Gujarat/Mustard,Haryana/Wheat,Haryana/Cotton,Haryana/Sugarcane,Haryana/Mustard,Karnataka/Sugarcane,Karnataka/Groundnut,Karnataka/Cotton,Karnataka/Maize,Madhya Pradesh/Wheat,Madhya Pradesh/Maize,Madhya Pradesh/Cotton,Madhya Pradesh/Sugarcane,Madhya Pradesh/Groundnut,Madhya Pradesh/Mustard,Maharashtra/Groundnut,Maharashtra/Sugarcane,Maharashtra/Cotton,Maharashtra/Maize,Maharashtra/Wheat,Orissa/Rice,Punjab/Wheat,Rajasthan/Wheat,Rajasthan/Maize,Rajasthan/Cotton,Rajasthan/Groundnut,Rajasthan/Mustard,Telangana/Rice,Telangana/Cotton,Uttar Pradesh/Rice,Uttar Pradesh/Wheat,Uttar Pradesh/Sugarcane,Uttar Pradesh/Mustard
01-01-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-02-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-03-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-04-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-05-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-06-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-07-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-08-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-09-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
01-10-2023,,3.323,,,,0.7323428569,,,0.3163714296,,,0.1721854305,0.5000264892,0.2504966889,0.1039423077,,0.1183910248,1.616,3.356164384,,,,0.1377682949,,,0.03872525526,,0.2875242975,,1.720034247,,,0.4553571429,,0.471,0.06136039316,,,,0.752331261,,,,0.3594980764,0.5669058268,0.08189480404
